Teritorija,Dz?vesvietas nor?d?šana,Dz?vesvietas deklar?šana,Dz?vesvietas re?istr?šana,Nav sp?k? re?istr?cija dz?vesviet?,Kop?
P?AVI?U NOVADS,0,5039,7,69,5115
PREI?U NOVADS,1,9500,0,104,9605
PRIEKULES NOVADS,3,5258,0,46,5307
PRIEKU?U NOVADS,0,8103,1,152,8256
RAUNAS NOVADS,0,3131,0,26,3157
R?ZEKNES NOVADS,7,25690,3,201,25901
RIEBI?U NOVADS,4,4825,0,24,4853
ROJAS NOVADS,0,3590,0,52,3642
ROPAŽU NOVADS,323,6971,1,127,7422
RUCAVAS NOVADS,0,1581,0,8,1589
RUG?JU NOVADS,0,2120,0,3,2123
RUND?LES NOVADS,1,3544,0,52,3597
R?JIENAS NOVADS,1,4962,0,16,4979
SALACGR?VAS NOVADS,2,7551,4,88,7645
SALAS NOVADS,0,3466,1,47,3514
SALASPILS NOVADS,2,23729,2,358,24091
SALDUS NOVADS,3,23139,2,419,23563
SAULKRASTU NOVADS,3,7451,3,75,7532
S?JAS NOVADS,2,2318,0,10,2330
SIGULDAS NOVADS,2,18918,0,205,19125
SKR?VERU NOVADS,0,3469,1,46,3516
SKRUNDAS NOVADS,3,4794,0,73,4870
SMILTENES NOVADS,3,12577,0,66,12646
STOPI?U NOVADS,1,12256,1,131,12389
STREN?U NOVADS,2,3164,0,54,3220
TALSU NOVADS,3,29454,0,431,29888
T?RVETES NOVADS,0,3317,0,22,3339
TUKUMA NOVADS,6,29422,22,495,29945
VAI?ODES NOVADS,0,2350,0,11,2361
VALKAS NOVADS,5,8440,0,161,8606
VARAK??NU NOVADS,2,3105,1,27,3135
V?RKAVAS NOVADS,2,1868,0,3,1873
VECPIEBALGAS NOVADS,0,3757,1,35,3793
VECUMNIEKU NOVADS,2,8133,3,98,8236
VENTSPILS NOVADS,1,11321,2,207,11531
VIES?TES NOVADS,0,3678,0,44,3722
VI?AKAS NOVADS,0,4772,2,31,4805
VI??NU NOVADS,2,5667,0,39,5708
ZILUPES NOVADS,1,2784,0,32,2817
Kop? NOVADI,573,973006,162,12508,986249
